Isolate	Accession
AB1	SRX218993
AB3	SRX218973
CB4853	SRX218981
CB4854	SRX218994
CB4856	SRX219150
ED3017	SRX218999
ED3021	SRX219003
ED3040	SRX218982
ED3042	SRX219000
ED3049	SRX218983
ED3052	SRX218984
ED3057	SRX219004
ED3072	SRX218977
GXW1	SRX218988
JU1088	SRX218989
JU1171	SRX218974
JU1400	SRX218990
JU1401	SRX218979
JU1652	SRX218975
JU258	SRX218971
JU263	SRX218978
JU300	SRX218991
JU312	SRX218992
JU322	SRX218969
JU345	SRX219001
JU360	SRX219005
JU361	SRX219002
JU394	SRX219153
JU397	SRX218972
JU533	SRX218980
JU642	SRX218970
JU775	SRX219006
KR314	SRX218995
LKC34	SRX218996
MY1	SRX218997
MY14	SRX218966
MY16	SRX218967
MY2	SRX218998
MY6	SRX218968
PX174	SRX219154
